label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,775.61,177.24,0.8991475050836852,94,40,28.74125,0.5875,47.4,23.51,1600,2.016574585635359,0.48475625,NO_CATEGORY
2,1427.61,200.12,0.937093827843897,111,40,52.901875,0.69375,42.6,39.87,1600,1.0684039087947883,0.89225625,NO_CATEGORY
3,751.19,151.86,0.9312507840923347,78,40,27.83625,0.4875,40.26,22.21,1600,1.8128654970760234,0.46949375000000004,NO_CATEGORY
4,864.65,144.49,0.9099703569590145,76,40,32.040625,0.475,46.36,23.64,1600,1.9615384615384615,0.54040625,NO_CATEGORY
5,1480.74,186.67,0.916419624217119,86,40,54.870625,0.5375,44.29,41.17,1600,1.0757097791798107,0.9254625,NO_CATEGORY
6,1308.14,169.32,0.9380404678107954,77,40,48.475,0.48125,41.43,38.18,1600,1.0850340136054422,0.8175875,NO_CATEGORY
7,1389.69,177.15,0.9359877314551858,88,40,51.496875,0.55,46.49,35.45,1600,1.3113553113553114,0.86855625,NO_CATEGORY
8,1490.38,181.96,0.9463656517408673,70,40,55.228125,0.4375,42.73,39.87,1600,1.0716612377850163,0.9314875,NO_CATEGORY
9,772.02,131.77,0.9366469541017823,43,40,28.608125,0.26875,38.7,22.34,1600,1.7325581395348837,0.4825125,NO_CATEGORY
10,744.66,130.07,0.9411250612836527,58,40,27.594375,0.3625,41.82,22.34,1600,1.872093023255814,0.4654125,NO_CATEGORY
11,767.7,149.89,0.9253679759290884,72,40,28.448125,0.45,46.88,22.47,1600,2.086705202312139,0.47981250000000003,NO_CATEGORY
12,1924.77,195.92,0.9617961619175243,71,40,71.325,0.44375,53.38,40.26,1600,1.3258064516129033,1.20298125,NO_CATEGORY
13,1185.37,166.96,0.9273123103311782,74,40,43.925625,0.4625,37.66,38.96,1600,0.9666666666666667,0.7408562499999999,NO_CATEGORY
14,970.9,148.69,0.9210252635957825,67,40,35.978125,0.41875,38.44,32.34,1600,1.1887550200803212,0.6068125,NO_CATEGORY
15,1356.62,173.67,0.9509813194608655,71,40,50.27125,0.44375,37.14,40.26,1600,0.9225806451612903,0.8478874999999999,NO_CATEGORY
16,1740.54,214.64,0.890289352450955,106,40,64.498125,0.6625,52.34,47.01,1600,1.1132596685082874,1.0878375,NO_CATEGORY
17,1249.16,172.71,0.9432494046027077,88,40,46.289375,0.55,38.44,37.14,1600,1.034965034965035,0.780725,NO_CATEGORY
18,1501.97,194.44,0.9001607213253949,85,40,55.6575,0.53125,46.36,40.0,1600,1.1590909090909092,0.93873125,NO_CATEGORY
19,922.6,152.1,0.9326047669383162,68,40,34.188125,0.425,45.45,25.45,1600,1.7857142857142858,0.576625,NO_CATEGORY
