label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,215.4,109.82,0.7928850810206742,60,50,5.1084,0.3,25.97,15.71,2500,1.6528925619834711,0.08616,NO_CATEGORY
2,642.87,246.73,0.6339986693280106,138,50,15.2464,0.69,35.06,35.58,2500,0.9854014598540146,0.257148,NO_CATEGORY
3,5.9,22.15,0.5139500734214391,10,50,0.14,0.05,8.44,2.86,2500,2.9545454545454546,0.00236,NO_CATEGORY
4,1283.03,422.8,0.8602689223879584,214,50,30.4284,1.07,47.01,47.53,2500,0.9890710382513661,0.513212,NO_CATEGORY
5,43.46,59.14,0.456591070163005,36,50,1.0308,0.18,18.83,8.31,2500,2.265625,0.017384,NO_CATEGORY
6,202.34,70.22,0.8871552170376396,29,50,4.7988,0.145,22.6,12.47,2500,1.8125,0.08093600000000001,NO_CATEGORY
7,237.24,126.73,0.7469598003292444,55,50,5.6264,0.275,41.3,9.61,2500,4.297297297297297,0.09489600000000001,NO_CATEGORY
8,2234.72,224.97,0.946867049709859,115,50,52.9988,0.575,45.58,62.86,2500,0.7252066115702479,0.8938879999999999,NO_CATEGORY
9,2155.65,220.41,0.9460885914783999,75,50,51.1236,0.375,50.26,50.0,2500,1.0051948051948052,0.86226,NO_CATEGORY
10,2063.63,219.58,0.9172645420536926,109,50,48.9412,0.545,51.56,50.13,2500,1.028497409326425,0.8254520000000001,NO_CATEGORY
11,1472.27,195.4,0.9348834220475308,90,50,34.9164,0.45,34.16,48.57,2500,0.7032085561497327,0.588908,NO_CATEGORY
12,1658.47,216.33,0.9350697515191282,125,50,39.3324,0.625,49.74,52.86,2500,0.941031941031941,0.663388,NO_CATEGORY
13,1933.9,222.76,0.9517252255617255,119,50,45.8644,0.595,49.74,47.66,2500,1.0435967302452316,0.77356,NO_CATEGORY
14,1490.96,184.6,0.9281124666652668,78,50,35.3596,0.39,46.88,38.31,2500,1.223728813559322,0.596384,NO_CATEGORY
15,71.26,48.97,0.801707779886148,18,50,1.69,0.09,18.57,6.49,2500,2.86,0.028504,NO_CATEGORY
16,2162.75,216.66,0.9541419567983451,92,50,51.292,0.46,47.79,52.47,2500,0.9108910891089109,0.8651,NO_CATEGORY
17,1923.12,206.72,0.9581358609794629,89,50,45.6088,0.445,48.57,53.38,2500,0.9099756690997567,0.7692479999999999,NO_CATEGORY
18,2193.92,217.36,0.9485743455115584,99,50,52.0312,0.495,49.74,48.18,2500,1.0323450134770888,0.877568,NO_CATEGORY
19,1280.2,169.99,0.9383831765302212,74,50,30.3612,0.37,38.96,37.01,2500,1.0526315789473684,0.51208,NO_CATEGORY
